"TOTALCRIME","C_MONTH","H_YEAR","WARD"
172,"April","2005",1
362,"April","2005",2
305,"April","2005",3
195,"April","2005",4
212,"April","2005",5
286,"April","2005",6
238,"April","2005",7
253,"April","2005",8
235,"April","2005",9
146,"April","2005",10
148,"April","2005",11
107,"April","2005",12
105,"April","2005",13
114,"April","2005",14
245,"April","2005",15
283,"April","2005",16
277,"April","2005",17
138,"April","2005",18
90,"April","2005",19
327,"April","2005",20
267,"April","2005",21
100,"April","2005",22
118,"April","2005",23
335,"April","2005",24
117,"April","2005",25
178,"April","2005",26
346,"April","2005",27
389,"April","2005",28
198,"April","2005",29
107,"April","2005",30
125,"April","2005",31
147,"April","2005",32
85,"April","2005",33
247,"April","2005",34
127,"April","2005",35
94,"April","2005",36
241,"April","2005",37
97,"April","2005",38
93,"April","2005",39
96,"April","2005",40
78,"April","2005",41
293,"April","2005",42
107,"April","2005",43
113,"April","2005",44
81,"April","2005",45
112,"April","2005",46
83,"April","2005",47
114,"April","2005",48
145,"April","2005",49
85,"April","2005",50
167,"April","2006",1
346,"April","2006",2
305,"April","2006",3
139,"April","2006",4
199,"April","2006",5
273,"April","2006",6
201,"April","2006",7
234,"April","2006",8
220,"April","2006",9
127,"April","2006",10
109,"April","2006",11
118,"April","2006",12
124,"April","2006",13
119,"April","2006",14
253,"April","2006",15
256,"April","2006",16
282,"April","2006",17
148,"April","2006",18
66,"April","2006",19
319,"April","2006",20
246,"April","2006",21
88,"April","2006",22
115,"April","2006",23
316,"April","2006",24
127,"April","2006",25
162,"April","2006",26
329,"April","2006",27
385,"April","2006",28
187,"April","2006",29
117,"April","2006",30
115,"April","2006",31
144,"April","2006",32
85,"April","2006",33
262,"April","2006",34
96,"April","2006",35
87,"April","2006",36
210,"April","2006",37
68,"April","2006",38
70,"April","2006",39
84,"April","2006",40
79,"April","2006",41
227,"April","2006",42
98,"April","2006",43
92,"April","2006",44
91,"April","2006",45
105,"April","2006",46
80,"April","2006",47
97,"April","2006",48
119,"April","2006",49
91,"April","2006",50
139,"April","2007",1
286,"April","2007",2
225,"April","2007",3
151,"April","2007",4
221,"April","2007",5
268,"April","2007",6
259,"April","2007",7
239,"April","2007",8
221,"April","2007",9
168,"April","2007",10
111,"April","2007",11
108,"April","2007",12
103,"April","2007",13
110,"April","2007",14
254,"April","2007",15
255,"April","2007",16
322,"April","2007",17
129,"April","2007",18
54,"April","2007",19
297,"April","2007",20
244,"April","2007",21
101,"April","2007",22
110,"April","2007",23
295,"April","2007",24
102,"April","2007",25
140,"April","2007",26
315,"April","2007",27
410,"April","2007",28
217,"April","2007",29
113,"April","2007",30
113,"April","2007",31
144,"April","2007",32
70,"April","2007",33
237,"April","2007",34
103,"April","2007",35
97,"April","2007",36
266,"April","2007",37
