"TOTALCRIME","C_MONTH","H_YEAR","WARD"
160,"August","2005",1
339,"August","2005",2
365,"August","2005",3
183,"August","2005",4
288,"August","2005",5
294,"August","2005",6
258,"August","2005",7
224,"August","2005",8
240,"August","2005",9
134,"August","2005",10
122,"August","2005",11
109,"August","2005",12
100,"August","2005",13
138,"August","2005",14
270,"August","2005",15
239,"August","2005",16
336,"August","2005",17
132,"August","2005",18
81,"August","2005",19
342,"August","2005",20
305,"August","2005",21
111,"August","2005",22
118,"August","2005",23
335,"August","2005",24
141,"August","2005",25
192,"August","2005",26
408,"August","2005",27
368,"August","2005",28
232,"August","2005",29
151,"August","2005",30
131,"August","2005",31
162,"August","2005",32
76,"August","2005",33
260,"August","2005",34
125,"August","2005",35
103,"August","2005",36
262,"August","2005",37
93,"August","2005",38
89,"August","2005",39
89,"August","2005",40
85,"August","2005",41
336,"August","2005",42
119,"August","2005",43
136,"August","2005",44
113,"August","2005",45
141,"August","2005",46
85,"August","2005",47
118,"August","2005",48
142,"August","2005",49
101,"August","2005",50
173,"August","2006",1
308,"August","2006",2
309,"August","2006",3
185,"August","2006",4
222,"August","2006",5
293,"August","2006",6
262,"August","2006",7
237,"August","2006",8
215,"August","2006",9
166,"August","2006",10
143,"August","2006",11
119,"August","2006",12
110,"August","2006",13
114,"August","2006",14
291,"August","2006",15
325,"August","2006",16
286,"August","2006",17
191,"August","2006",18
75,"August","2006",19
326,"August","2006",20
267,"August","2006",21
111,"August","2006",22
119,"August","2006",23
401,"August","2006",24
116,"August","2006",25
172,"August","2006",26
356,"August","2006",27
425,"August","2006",28
212,"August","2006",29
123,"August","2006",30
122,"August","2006",31
149,"August","2006",32
82,"August","2006",33
239,"August","2006",34
132,"August","2006",35
82,"August","2006",36
253,"August","2006",37
91,"August","2006",38
69,"August","2006",39
89,"August","2006",40
99,"August","2006",41
325,"August","2006",42
127,"August","2006",43
113,"August","2006",44
101,"August","2006",45
139,"August","2006",46
119,"August","2006",47
95,"August","2006",48
150,"August","2006",49
110,"August","2006",50
199,"August","2007",1
347,"August","2007",2
267,"August","2007",3
173,"August","2007",4
205,"August","2007",5
324,"August","2007",6
247,"August","2007",7
249,"August","2007",8
251,"August","2007",9
161,"August","2007",10
122,"August","2007",11
99,"August","2007",12
115,"August","2007",13
105,"August","2007",14
239,"August","2007",15
278,"August","2007",16
343,"August","2007",17
142,"August","2007",18
88,"August","2007",19
367,"August","2007",20
301,"August","2007",21
97,"August","2007",22
137,"August","2007",23
367,"August","2007",24
126,"August","2007",25
171,"August","2007",26
318,"August","2007",27
369,"August","2007",28
227,"August","2007",29
127,"August","2007",30
112,"August","2007",31
153,"August","2007",32
95,"August","2007",33
310,"August","2007",34
110,"August","2007",35
73,"August","2007",36
295,"August","2007",37
94,"August","2007",38
66,"August","2007",39
96,"August","2007",40
101,"August","2007",41
318,"August","2007",42
103,"August","2007",43
112,"August","2007",44
75,"August","2007",45
126,"August","2007",46
86,"August","2007",47
89,"August","2007",48
134,"August","2007",49
101,"August","2007",50
163,"August","2008",1
313,"August","2008",2
