"TOTALCRIME","C_MONTH","H_YEAR","WARD"
165,"December","2005",1
280,"December","2005",2
282,"December","2005",3
127,"December","2005",4
173,"December","2005",5
255,"December","2005",6
193,"December","2005",7
199,"December","2005",8
189,"December","2005",9
133,"December","2005",10
82,"December","2005",11
97,"December","2005",12
97,"December","2005",13
111,"December","2005",14
175,"December","2005",15
219,"December","2005",16
199,"December","2005",17
141,"December","2005",18
75,"December","2005",19
253,"December","2005",20
212,"December","2005",21
63,"December","2005",22
82,"December","2005",23
278,"December","2005",24
100,"December","2005",25
132,"December","2005",26
333,"December","2005",27
381,"December","2005",28
202,"December","2005",29
103,"December","2005",30
101,"December","2005",31
118,"December","2005",32
87,"December","2005",33
185,"December","2005",34
80,"December","2005",35
88,"December","2005",36
190,"December","2005",37
87,"December","2005",38
66,"December","2005",39
85,"December","2005",40
65,"December","2005",41
267,"December","2005",42
89,"December","2005",43
83,"December","2005",44
70,"December","2005",45
104,"December","2005",46
86,"December","2005",47
81,"December","2005",48
124,"December","2005",49
88,"December","2005",50
129,"December","2006",1
282,"December","2006",2
213,"December","2006",3
164,"December","2006",4
174,"December","2006",5
242,"December","2006",6
220,"December","2006",7
232,"December","2006",8
216,"December","2006",9
136,"December","2006",10
88,"December","2006",11
103,"December","2006",12
105,"December","2006",13
118,"December","2006",14
228,"December","2006",15
202,"December","2006",16
257,"December","2006",17
145,"December","2006",18
63,"December","2006",19
243,"December","2006",20
261,"December","2006",21
94,"December","2006",22
105,"December","2006",23
316,"December","2006",24
95,"December","2006",25
117,"December","2006",26
273,"December","2006",27
372,"December","2006",28
173,"December","2006",29
99,"December","2006",30
111,"December","2006",31
141,"December","2006",32
74,"December","2006",33
249,"December","2006",34
103,"December","2006",35
67,"December","2006",36
242,"December","2006",37
101,"December","2006",38
84,"December","2006",39
76,"December","2006",40
83,"December","2006",41
285,"December","2006",42
86,"December","2006",43
85,"December","2006",44
81,"December","2006",45
104,"December","2006",46
62,"December","2006",47
70,"December","2006",48
110,"December","2006",49
83,"December","2006",50
157,"December","2007",1
299,"December","2007",2
211,"December","2007",3
143,"December","2007",4
163,"December","2007",5
233,"December","2007",6
234,"December","2007",7
208,"December","2007",8
210,"December","2007",9
115,"December","2007",10
89,"December","2007",11
93,"December","2007",12
90,"December","2007",13
107,"December","2007",14
211,"December","2007",15
212,"December","2007",16
254,"December","2007",17
118,"December","2007",18
63,"December","2007",19
219,"December","2007",20
248,"December","2007",21
77,"December","2007",22
119,"December","2007",23
249,"December","2007",24
107,"December","2007",25
119,"December","2007",26
256,"December","2007",27
316,"December","2007",28
177,"December","2007",29
104,"December","2007",30
115,"December","2007",31
132,"December","2007",32
76,"December","2007",33
207,"December","2007",34
97,"December","2007",35
91,"December","2007",36
191,"December","2007",37
80,"December","2007",38
71,"December","2007",39
79,"December","2007",40
89,"December","2007",41
266,"December","2007",42
89,"December","2007",43
81,"December","2007",44
75,"December","2007",45
94,"December","2007",46
67,"December","2007",47
52,"December","2007",48
69,"December","2007",49
82,"December","2007",50
147,"December","2008",1
278,"December","2008",2
222,"December","2008",3
100,"December","2008",4
149,"December","2008",5
202,"December","2008",6
151,"December","2008",7
174,"December","2008",8
145,"December","2008",9
107,"December","2008",10
101,"December","2008",11
78,"December","2008",12
111,"December","2008",13
101,"December","2008",14
193,"December","2008",15
167,"December","2008",16
211,"December","2008",17
117,"December","2008",18
76,"December","2008",19
208,"December","2008",20
207,"December","2008",21
69,"December","2008",22
95,"December","2008",23
222,"December","2008",24
80,"December","2008",25
91,"December","2008",26
231,"December","2008",27
312,"December","2008",28
140,"December","2008",29
112,"December","2008",30
99,"December","2008",31
148,"December","2008",32
53,"December","2008",33
178,"December","2008",34
73,"December","2008",35
83,"December","2008",36
179,"December","2008",37
68,"December","2008",38
66,"December","2008",39
88,"December","2008",40
69,"December","2008",41
296,"December","2008",42
84,"December","2008",43
92,"December","2008",44
77,"December","2008",45
89,"December","2008",46
81,"December","2008",47
50,"December","2008",48
86,"December","2008",49
87,"December","2008",50
115,"December","2009",1
216,"December","2009",2
164,"December","2009",3
127,"December","2009",4
150,"December","2009",5
234,"December","2009",6
169,"December","2009",7
186,"December","2009",8
152,"December","2009",9
94,"December","2009",10
86,"December","2009",11
71,"December","2009",12
99,"December","2009",13
97,"December","2009",14
165,"December","2009",15
167,"December","2009",16
221,"December","2009",17
124,"December","2009",18
72,"December","2009",19
227,"December","2009",20
167,"December","2009",21
81,"December","2009",22
87,"December","2009",23
236,"December","2009",24
70,"December","2009",25
110,"December","2009",26
236,"December","2009",27
300,"December","2009",28
162,"December","2009",29
110,"December","2009",30
114,"December","2009",31
119,"December","2009",32
66,"December","2009",33
175,"December","2009",34
96,"December","2009",35
96,"December","2009",36
203,"December","2009",37
66,"December","2009",38
53,"December","2009",39
73,"December","2009",40
71,"December","2009",41
231,"December","2009",42
60,"December","2009",43
74,"December","2009",44
53,"December","2009",45
75,"December","2009",46
75,"December","2009",47
70,"December","2009",48
72,"December","2009",49
67,"December","2009",50
124,"December","2010",1
212,"December","2010",2
134,"December","2010",3
102,"December","2010",4
135,"December","2010",5
187,"December","2010",6
161,"December","2010",7
173,"December","2010",8
160,"December","2010",9
119,"December","2010",10
82,"December","2010",11
63,"December","2010",12
74,"December","2010",13
100,"December","2010",14
167,"December","2010",15
189,"December","2010",16
186,"December","2010",17
94,"December","2010",18
40,"December","2010",19
224,"December","2010",20
169,"December","2010",21
60,"December","2010",22
66,"December","2010",23
220,"December","2010",24
87,"December","2010",25
107,"December","2010",26
199,"December","2010",27
275,"December","2010",28
148,"December","2010",29
96,"December","2010",30
102,"December","2010",31
119,"December","2010",32
62,"December","2010",33
138,"December","2010",34
92,"December","2010",35
71,"December","2010",36
159,"December","2010",37
68,"December","2010",38
69,"December","2010",39
51,"December","2010",40
76,"December","2010",41
214,"December","2010",42
82,"December","2010",43
68,"December","2010",44
69,"December","2010",45
75,"December","2010",46
59,"December","2010",47
57,"December","2010",48
67,"December","2010",49
72,"December","2010",50
101,"December","2011",1
218,"December","2011",2
163,"December","2011",3
97,"December","2011",4
144,"December","2011",5
205,"December","2011",6
188,"December","2011",7
158,"December","2011",8
155,"December","2011",9
117,"December","2011",10
94,"December","2011",11
68,"December","2011",12
98,"December","2011",13
95,"December","2011",14
185,"December","2011",15
191,"December","2011",16
219,"December","2011",17
114,"December","2011",18
46,"December","2011",19
180,"December","2011",20
207,"December","2011",21
75,"December","2011",22
77,"December","2011",23
238,"December","2011",24
79,"December","2011",25
90,"December","2011",26
188,"December","2011",27
310,"December","2011",28
180,"December","2011",29
91,"December","2011",30
91,"December","2011",31
89,"December","2011",32
72,"December","2011",33
189,"December","2011",34
64,"December","2011",35
68,"December","2011",36
178,"December","2011",37
82,"December","2011",38
68,"December","2011",39
62,"December","2011",40
65,"December","2011",41
256,"December","2011",42
58,"December","2011",43
99,"December","2011",44
63,"December","2011",45
80,"December","2011",46
69,"December","2011",47
72,"December","2011",48
75,"December","2011",49
66,"December","2011",50
94,"December","2012",1
216,"December","2012",2
155,"December","2012",3
96,"December","2012",4
154,"December","2012",5
215,"December","2012",6
132,"December","2012",7
147,"December","2012",8
144,"December","2012",9
100,"December","2012",10
67,"December","2012",11
57,"December","2012",12
96,"December","2012",13
84,"December","2012",14
153,"December","2012",15
168,"December","2012",16
196,"December","2012",17
85,"December","2012",18
61,"December","2012",19
180,"December","2012",20
168,"December","2012",21
64,"December","2012",22
80,"December","2012",23
243,"December","2012",24
78,"December","2012",25
94,"December","2012",26
234,"December","2012",27
261,"December","2012",28
141,"December","2012",29
92,"December","2012",30
79,"December","2012",31
109,"December","2012",32
66,"December","2012",33
185,"December","2012",34
79,"December","2012",35
75,"December","2012",36
141,"December","2012",37
46,"December","2012",38
46,"December","2012",39
66,"December","2012",40
70,"December","2012",41
246,"December","2012",42
64,"December","2012",43
92,"December","2012",44
54,"December","2012",45
74,"December","2012",46
54,"December","2012",47
58,"December","2012",48
73,"December","2012",49
51,"December","2012",50
99,"December","2013",1
201,"December","2013",2
130,"December","2013",3
84,"December","2013",4
121,"December","2013",5
163,"December","2013",6
113,"December","2013",7
114,"December","2013",8
136,"December","2013",9
75,"December","2013",10
58,"December","2013",11
53,"December","2013",12
65,"December","2013",13
78,"December","2013",14
145,"December","2013",15
125,"December","2013",16
143,"December","2013",17
82,"December","2013",18
42,"December","2013",19
133,"December","2013",20
168,"December","2013",21
63,"December","2013",22
70,"December","2013",23
192,"December","2013",24
68,"December","2013",25
65,"December","2013",26
161,"December","2013",27
254,"December","2013",28
127,"December","2013",29
66,"December","2013",30
77,"December","2013",31
95,"December","2013",32
37,"December","2013",33
145,"December","2013",34
67,"December","2013",35
47,"December","2013",36
140,"December","2013",37
61,"December","2013",38
38,"December","2013",39
43,"December","2013",40
61,"December","2013",41
250,"December","2013",42
60,"December","2013",43
78,"December","2013",44
56,"December","2013",45
57,"December","2013",46
57,"December","2013",47
38,"December","2013",48
62,"December","2013",49
54,"December","2013",50
68,"December","2014",1
174,"December","2014",2
120,"December","2014",3
61,"December","2014",4
135,"December","2014",5
151,"December","2014",6
138,"December","2014",7
143,"December","2014",8
138,"December","2014",9
62,"December","2014",10
46,"December","2014",11
51,"December","2014",12
75,"December","2014",13
76,"December","2014",14
103,"December","2014",15
110,"December","2014",16
151,"December","2014",17
77,"December","2014",18
40,"December","2014",19
131,"December","2014",20
143,"December","2014",21
53,"December","2014",22
60,"December","2014",23
218,"December","2014",24
47,"December","2014",25
63,"December","2014",26
152,"December","2014",27
279,"December","2014",28
106,"December","2014",29
71,"December","2014",30
77,"December","2014",31
82,"December","2014",32
48,"December","2014",33
132,"December","2014",34
58,"December","2014",35
41,"December","2014",36
119,"December","2014",37
55,"December","2014",38
43,"December","2014",39
41,"December","2014",40
68,"December","2014",41
226,"December","2014",42
53,"December","2014",43
77,"December","2014",44
35,"December","2014",45
67,"December","2014",46
52,"December","2014",47
43,"December","2014",48
52,"December","2014",49
45,"December","2014",50
