TOTALCRIME,C_MONTH,H_YEAR,WARD
159,January,2005,1
330,January,2005,2
331,January,2005,3
169,January,2005,4
191,January,2005,5
191,January,2005,6
208,January,2005,7
195,January,2005,8
170,January,2005,9
127,January,2005,10
104,January,2005,11
84,January,2005,12
107,January,2005,13
102,January,2005,14
226,January,2005,15
268,January,2005,16
209,January,2005,17
114,January,2005,18
55,January,2005,19
264,January,2005,20
224,January,2005,21
81,January,2005,22
144,January,2005,23
274,January,2005,24
92,January,2005,25
133,January,2005,26
295,January,2005,27
395,January,2005,28
151,January,2005,29
99,January,2005,30
96,January,2005,31
118,January,2005,32
86,January,2005,33
201,January,2005,34
120,January,2005,35
84,January,2005,36
191,January,2005,37
89,January,2005,38
55,January,2005,39
71,January,2005,40
65,January,2005,41
239,January,2005,42
66,January,2005,43
80,January,2005,44
76,January,2005,45
94,January,2005,46
80,January,2005,47
93,January,2005,48
119,January,2005,49
66,January,2005,50
172,January,2006,1
315,January,2006,2
323,January,2006,3
151,January,2006,4
180,January,2006,5
257,January,2006,6
210,January,2006,7
232,January,2006,8
193,January,2006,9
139,January,2006,10
125,January,2006,11
105,January,2006,12
118,January,2006,13
123,January,2006,14
256,January,2006,15
218,January,2006,16
285,January,2006,17
129,January,2006,18
65,January,2006,19
280,January,2006,20
223,January,2006,21
79,January,2006,22
127,January,2006,23
302,January,2006,24
96,January,2006,25
136,January,2006,26
268,January,2006,27
361,January,2006,28
175,January,2006,29
117,January,2006,30
132,January,2006,31
146,January,2006,32
96,January,2006,33
268,January,2006,34
127,January,2006,35
108,January,2006,36
205,January,2006,37
84,January,2006,38
99,January,2006,39
112,January,2006,40
83,January,2006,41
242,January,2006,42
90,January,2006,43
96,January,2006,44
85,January,2006,45
111,January,2006,46
90,January,2006,47
84,January,2006,48
141,January,2006,49
92,January,2006,50
126,January,2007,1
299,January,2007,2
274,January,2007,3
191,January,2007,4
184,January,2007,5
270,January,2007,6
204,January,2007,7
206,January,2007,8
198,January,2007,9
129,January,2007,10
109,January,2007,11
88,January,2007,12
107,January,2007,13
116,January,2007,14
231,January,2007,15
222,January,2007,16
266,January,2007,17
146,January,2007,18
62,January,2007,19
253,January,2007,20
241,January,2007,21
103,January,2007,22
103,January,2007,23
317,January,2007,24
97,January,2007,25
116,January,2007,26
295,January,2007,27
363,January,2007,28
175,January,2007,29
111,January,2007,30
103,January,2007,31
135,January,2007,32
63,January,2007,33
247,January,2007,34
109,January,2007,35
84,January,2007,36
194,January,2007,37
72,January,2007,38
62,January,2007,39
71,January,2007,40
92,January,2007,41
275,January,2007,42
98,January,2007,43
99,January,2007,44
71,January,2007,45
112,January,2007,46
78,January,2007,47
76,January,2007,48
114,January,2007,49
68,January,2007,50
154,January,2008,1
301,January,2008,2
259,January,2008,3
136,January,2008,4
178,January,2008,5
244,January,2008,6
209,January,2008,7
206,January,2008,8
211,January,2008,9
133,January,2008,10
103,January,2008,11
86,January,2008,12
114,January,2008,13
92,January,2008,14
205,January,2008,15
198,January,2008,16
287,January,2008,17
121,January,2008,18
65,January,2008,19
260,January,2008,20
248,January,2008,21
101,January,2008,22
97,January,2008,23
