"TOTALCRIME","C_MONTH","H_YEAR","WARD"
177,"July","2005",1
348,"July","2005",2
357,"July","2005",3
188,"July","2005",4
261,"July","2005",5
324,"July","2005",6
235,"July","2005",7
259,"July","2005",8
209,"July","2005",9
152,"July","2005",10
125,"July","2005",11
111,"July","2005",12
102,"July","2005",13
124,"July","2005",14
278,"July","2005",15
289,"July","2005",16
301,"July","2005",17
165,"July","2005",18
100,"July","2005",19
328,"July","2005",20
264,"July","2005",21
115,"July","2005",22
128,"July","2005",23
374,"July","2005",24
106,"July","2005",25
172,"July","2005",26
378,"July","2005",27
414,"July","2005",28
218,"July","2005",29
122,"July","2005",30
133,"July","2005",31
154,"July","2005",32
108,"July","2005",33
277,"July","2005",34
123,"July","2005",35
89,"July","2005",36
257,"July","2005",37
104,"July","2005",38
66,"July","2005",39
103,"July","2005",40
92,"July","2005",41
299,"July","2005",42
118,"July","2005",43
130,"July","2005",44
80,"July","2005",45
147,"July","2005",46
88,"July","2005",47
110,"July","2005",48
163,"July","2005",49
108,"July","2005",50
168,"July","2006",1
341,"July","2006",2
336,"July","2006",3
155,"July","2006",4
253,"July","2006",5
314,"July","2006",6
281,"July","2006",7
263,"July","2006",8
258,"July","2006",9
164,"July","2006",10
129,"July","2006",11
117,"July","2006",12
121,"July","2006",13
124,"July","2006",14
283,"July","2006",15
300,"July","2006",16
300,"July","2006",17
186,"July","2006",18
78,"July","2006",19
357,"July","2006",20
303,"July","2006",21
100,"July","2006",22
122,"July","2006",23
338,"July","2006",24
153,"July","2006",25
185,"July","2006",26
347,"July","2006",27
419,"July","2006",28
206,"July","2006",29
131,"July","2006",30
112,"July","2006",31
167,"July","2006",32
97,"July","2006",33
287,"July","2006",34
126,"July","2006",35
98,"July","2006",36
258,"July","2006",37
86,"July","2006",38
97,"July","2006",39
102,"July","2006",40
115,"July","2006",41
312,"July","2006",42
112,"July","2006",43
138,"July","2006",44
80,"July","2006",45
140,"July","2006",46
96,"July","2006",47
104,"July","2006",48
146,"July","2006",49
123,"July","2006",50
170,"July","2007",1
320,"July","2007",2
253,"July","2007",3
188,"July","2007",4
246,"July","2007",5
355,"July","2007",6
230,"July","2007",7
278,"July","2007",8
266,"July","2007",9
129,"July","2007",10
122,"July","2007",11
109,"July","2007",12
122,"July","2007",13
113,"July","2007",14
289,"July","2007",15
311,"July","2007",16
336,"July","2007",17
150,"July","2007",18
79,"July","2007",19
380,"July","2007",20
297,"July","2007",21
95,"July","2007",22
136,"July","2007",23
343,"July","2007",24
128,"July","2007",25
152,"July","2007",26
322,"July","2007",27
423,"July","2007",28
206,"July","2007",29
140,"July","2007",30
127,"July","2007",31
168,"July","2007",32
81,"July","2007",33
270,"July","2007",34
114,"July","2007",35
80,"July","2007",36
262,"July","2007",37
85,"July","2007",38
87,"July","2007",39
95,"July","2007",40
100,"July","2007",41
316,"July","2007",42
122,"July","2007",43
151,"July","2007",44
86,"July","2007",45
144,"July","2007",46
81,"July","2007",47
96,"July","2007",48
144,"July","2007",49
96,"July","2007",50
174,"July","2008",1
323,"July","2008",2
286,"July","2008",3
169,"July","2008",4
205,"July","2008",5
323,"July","2008",6
252,"July","2008",7
249,"July","2008",8
210,"July","2008",9
149,"July","2008",10
128,"July","2008",11
115,"July","2008",12
122,"July","2008",13
103,"July","2008",14
287,"July","2008",15
288,"July","2008",16
326,"July","2008",17
139,"July","2008",18
81,"July","2008",19
302,"July","2008",20
251,"July","2008",21
92,"July","2008",22
116,"July","2008",23
326,"July","2008",24
112,"July","2008",25
132,"July","2008",26
287,"July","2008",27
410,"July","2008",28
228,"July","2008",29
132,"July","2008",30
85,"July","2008",31
149,"July","2008",32
99,"July","2008",33
291,"July","2008",34
135,"July","2008",35
113,"July","2008",36
263,"July","2008",37
95,"July","2008",38
96,"July","2008",39
97,"July","2008",40
102,"July","2008",41
403,"July","2008",42
122,"July","2008",43
128,"July","2008",44
93,"July","2008",45
127,"July","2008",46
86,"July","2008",47
88,"July","2008",48
137,"July","2008",49
86,"July","2008",50
172,"July","2009",1
273,"July","2009",2
239,"July","2009",3
122,"July","2009",4
203,"July","2009",5
259,"July","2009",6
230,"July","2009",7
193,"July","2009",8
211,"July","2009",9
139,"July","2009",10
99,"July","2009",11
94,"July","2009",12
116,"July","2009",13
92,"July","2009",14
221,"July","2009",15
252,"July","2009",16
275,"July","2009",17
140,"July","2009",18
79,"July","2009",19
270,"July","2009",20
247,"July","2009",21
92,"July","2009",22
108,"July","2009",23
277,"July","2009",24
115,"July","2009",25
123,"July","2009",26
276,"July","2009",27
348,"July","2009",28
213,"July","2009",29
103,"July","2009",30
99,"July","2009",31
