"TOTALCRIME","C_MONTH","H_YEAR","WARD"
177,"June","2005",1
347,"June","2005",2
332,"June","2005",3
196,"June","2005",4
250,"June","2005",5
268,"June","2005",6
215,"June","2005",7
231,"June","2005",8
227,"June","2005",9
144,"June","2005",10
123,"June","2005",11
129,"June","2005",12
110,"June","2005",13
140,"June","2005",14
236,"June","2005",15
331,"June","2005",16
351,"June","2005",17
147,"June","2005",18
93,"June","2005",19
332,"June","2005",20
282,"June","2005",21
86,"June","2005",22
135,"June","2005",23
341,"June","2005",24
119,"June","2005",25
171,"June","2005",26
362,"June","2005",27
448,"June","2005",28
197,"June","2005",29
144,"June","2005",30
121,"June","2005",31
136,"June","2005",32
79,"June","2005",33
280,"June","2005",34
129,"June","2005",35
75,"June","2005",36
231,"June","2005",37
85,"June","2005",38
74,"June","2005",39
104,"June","2005",40
77,"June","2005",41
287,"June","2005",42
141,"June","2005",43
108,"June","2005",44
95,"June","2005",45
124,"June","2005",46
86,"June","2005",47
110,"June","2005",48
156,"June","2005",49
75,"June","2005",50
148,"June","2006",1
301,"June","2006",2
329,"June","2006",3
141,"June","2006",4
229,"June","2006",5
283,"June","2006",6
250,"June","2006",7
232,"June","2006",8
247,"June","2006",9
160,"June","2006",10
109,"June","2006",11
88,"June","2006",12
111,"June","2006",13
104,"June","2006",14
254,"June","2006",15
282,"June","2006",16
286,"June","2006",17
147,"June","2006",18
82,"June","2006",19
303,"June","2006",20
261,"June","2006",21
87,"June","2006",22
124,"June","2006",23
326,"June","2006",24
120,"June","2006",25
184,"June","2006",26
327,"June","2006",27
463,"June","2006",28
209,"June","2006",29
100,"June","2006",30
115,"June","2006",31
138,"June","2006",32
108,"June","2006",33
278,"June","2006",34
115,"June","2006",35
112,"June","2006",36
242,"June","2006",37
81,"June","2006",38
77,"June","2006",39
106,"June","2006",40
79,"June","2006",41
333,"June","2006",42
123,"June","2006",43
117,"June","2006",44
99,"June","2006",45
121,"June","2006",46
81,"June","2006",47
91,"June","2006",48
125,"June","2006",49
105,"June","2006",50
149,"June","2007",1
307,"June","2007",2
