"TOTALCRIME","C_MONTH","H_YEAR","WARD"
152,"March","2005",1
307,"March","2005",2
315,"March","2005",3
184,"March","2005",4
205,"March","2005",5
253,"March","2005",6
213,"March","2005",7
224,"March","2005",8
216,"March","2005",9
131,"March","2005",10
121,"March","2005",11
95,"March","2005",12
118,"March","2005",13
121,"March","2005",14
218,"March","2005",15
252,"March","2005",16
244,"March","2005",17
149,"March","2005",18
72,"March","2005",19
272,"March","2005",20
262,"March","2005",21
81,"March","2005",22
112,"March","2005",23
329,"March","2005",24
106,"March","2005",25
150,"March","2005",26
361,"March","2005",27
399,"March","2005",28
192,"March","2005",29
121,"March","2005",30
103,"March","2005",31
115,"March","2005",32
103,"March","2005",33
301,"March","2005",34
125,"March","2005",35
92,"March","2005",36
250,"March","2005",37
108,"March","2005",38
71,"March","2005",39
105,"March","2005",40
94,"March","2005",41
274,"March","2005",42
85,"March","2005",43
90,"March","2005",44
79,"March","2005",45
115,"March","2005",46
107,"March","2005",47
104,"March","2005",48
134,"March","2005",49
85,"March","2005",50
183,"March","2006",1
301,"March","2006",2
279,"March","2006",3
155,"March","2006",4
201,"March","2006",5
281,"March","2006",6
215,"March","2006",7
234,"March","2006",8
218,"March","2006",9
158,"March","2006",10
107,"March","2006",11
113,"March","2006",12
111,"March","2006",13
138,"March","2006",14
273,"March","2006",15
266,"March","2006",16
284,"March","2006",17
143,"March","2006",18
86,"March","2006",19
284,"March","2006",20
250,"March","2006",21
100,"March","2006",22
121,"March","2006",23
300,"March","2006",24
127,"March","2006",25
164,"March","2006",26
299,"March","2006",27
424,"March","2006",28
195,"March","2006",29
114,"March","2006",30
126,"March","2006",31
141,"March","2006",32
85,"March","2006",33
271,"March","2006",34
105,"March","2006",35
91,"March","2006",36
225,"March","2006",37
83,"March","2006",38
81,"March","2006",39
81,"March","2006",40
79,"March","2006",41
303,"March","2006",42
110,"March","2006",43
71,"March","2006",44
80,"March","2006",45
104,"March","2006",46
86,"March","2006",47
99,"March","2006",48
122,"March","2006",49
98,"March","2006",50
131,"March","2007",1
276,"March","2007",2
271,"March","2007",3
161,"March","2007",4
192,"March","2007",5
262,"March","2007",6
234,"March","2007",7
230,"March","2007",8
191,"March","2007",9
158,"March","2007",10
103,"March","2007",11
93,"March","2007",12
92,"March","2007",13
142,"March","2007",14
249,"March","2007",15
229,"March","2007",16
294,"March","2007",17
162,"March","2007",18
73,"March","2007",19
297,"March","2007",20
262,"March","2007",21
126,"March","2007",22
133,"March","2007",23
314,"March","2007",24
103,"March","2007",25
115,"March","2007",26
268,"March","2007",27
381,"March","2007",28
212,"March","2007",29
138,"March","2007",30
120,"March","2007",31
127,"March","2007",32
72,"March","2007",33
285,"March","2007",34
118,"March","2007",35
83,"March","2007",36
223,"March","2007",37
77,"March","2007",38
79,"March","2007",39
84,"March","2007",40
79,"March","2007",41
258,"March","2007",42
108,"March","2007",43
104,"March","2007",44
67,"March","2007",45
112,"March","2007",46
76,"March","2007",47
79,"March","2007",48
128,"March","2007",49
59,"March","2007",50
152,"March","2008",1
272,"March","2008",2
215,"March","2008",3
163,"March","2008",4
195,"March","2008",5
244,"March","2008",6
202,"March","2008",7
246,"March","2008",8
212,"March","2008",9
116,"March","2008",10
115,"March","2008",11
113,"March","2008",12
97,"March","2008",13
110,"March","2008",14
229,"March","2008",15
222,"March","2008",16
291,"March","2008",17
159,"March","2008",18
76,"March","2008",19
237,"March","2008",20
235,"March","2008",21
123,"March","2008",22
109,"March","2008",23
297,"March","2008",24
89,"March","2008",25
115,"March","2008",26
254,"March","2008",27
330,"March","2008",28
177,"March","2008",29
103,"March","2008",30
99,"March","2008",31
135,"March","2008",32
80,"March","2008",33
243,"March","2008",34
94,"March","2008",35
90,"March","2008",36
220,"March","2008",37
84,"March","2008",38
93,"March","2008",39
71,"March","2008",40
92,"March","2008",41
248,"March","2008",42
87,"March","2008",43
88,"March","2008",44
82,"March","2008",45
78,"March","2008",46
61,"March","2008",47
66,"March","2008",48
91,"March","2008",49
78,"March","2008",50
141,"March","2009",1
280,"March","2009",2
235,"March","2009",3
122,"March","2009",4
194,"March","2009",5
251,"March","2009",6
212,"March","2009",7
217,"March","2009",8
194,"March","2009",9
136,"March","2009",10
110,"March","2009",11
84,"March","2009",12
99,"March","2009",13
118,"March","2009",14
226,"March","2009",15
223,"March","2009",16
250,"March","2009",17
144,"March","2009",18
80,"March","2009",19
264,"March","2009",20
235,"March","2009",21
100,"March","2009",22
84,"March","2009",23
274,"March","2009",24
90,"March","2009",25
139,"March","2009",26
280,"March","2009",27
374,"March","2009",28
186,"March","2009",29
105,"March","2009",30
101,"March","2009",31
130,"March","2009",32
75,"March","2009",33
236,"March","2009",34
72,"March","2009",35
106,"March","2009",36
232,"March","2009",37
98,"March","2009",38
78,"March","2009",39
77,"March","2009",40
78,"March","2009",41
227,"March","2009",42
74,"March","2009",43
100,"March","2009",44
81,"March","2009",45
81,"March","2009",46
90,"March","2009",47
76,"March","2009",48
98,"March","2009",49
87,"March","2009",50
139,"March","2010",1
