"TOTALCRIME","C_MONTH","H_YEAR","WARD"
194,"May","2005",1
331,"May","2005",2
320,"May","2005",3
228,"May","2005",4
211,"May","2005",5
295,"May","2005",6
230,"May","2005",7
242,"May","2005",8
202,"May","2005",9
164,"May","2005",10
150,"May","2005",11
100,"May","2005",12
120,"May","2005",13
120,"May","2005",14
220,"May","2005",15
254,"May","2005",16
311,"May","2005",17
175,"May","2005",18
86,"May","2005",19
334,"May","2005",20
245,"May","2005",21
103,"May","2005",22
111,"May","2005",23
392,"May","2005",24
105,"May","2005",25
181,"May","2005",26
404,"May","2005",27
426,"May","2005",28
220,"May","2005",29
145,"May","2005",30
118,"May","2005",31
150,"May","2005",32
84,"May","2005",33
292,"May","2005",34
116,"May","2005",35
100,"May","2005",36
263,"May","2005",37
101,"May","2005",38
90,"May","2005",39
99,"May","2005",40
95,"May","2005",41
293,"May","2005",42
97,"May","2005",43
119,"May","2005",44
85,"May","2005",45
133,"May","2005",46
103,"May","2005",47
109,"May","2005",48
139,"May","2005",49
112,"May","2005",50
171,"May","2006",1
362,"May","2006",2
322,"May","2006",3
174,"May","2006",4
222,"May","2006",5
282,"May","2006",6
249,"May","2006",7
271,"May","2006",8
218,"May","2006",9
160,"May","2006",10
143,"May","2006",11
95,"May","2006",12
129,"May","2006",13
113,"May","2006",14
240,"May","2006",15
291,"May","2006",16
319,"May","2006",17
189,"May","2006",18
82,"May","2006",19
309,"May","2006",20
262,"May","2006",21
96,"May","2006",22
152,"May","2006",23
325,"May","2006",24
114,"May","2006",25
163,"May","2006",26
354,"May","2006",27
525,"May","2006",28
227,"May","2006",29
147,"May","2006",30
122,"May","2006",31
128,"May","2006",32
114,"May","2006",33
281,"May","2006",34
136,"May","2006",35
91,"May","2006",36
269,"May","2006",37
75,"May","2006",38
88,"May","2006",39
113,"May","2006",40
119,"May","2006",41
300,"May","2006",42
89,"May","2006",43
103,"May","2006",44
77,"May","2006",45
121,"May","2006",46
99,"May","2006",47
92,"May","2006",48
148,"May","2006",49
95,"May","2006",50
177,"May","2007",1
348,"May","2007",2
283,"May","2007",3
189,"May","2007",4
253,"May","2007",5
341,"May","2007",6
262,"May","2007",7
275,"May","2007",8
251,"May","2007",9
158,"May","2007",10
111,"May","2007",11
107,"May","2007",12
126,"May","2007",13
153,"May","2007",14
248,"May","2007",15
272,"May","2007",16
321,"May","2007",17
199,"May","2007",18
108,"May","2007",19
302,"May","2007",20
292,"May","2007",21
119,"May","2007",22
143,"May","2007",23
338,"May","2007",24
113,"May","2007",25
158,"May","2007",26
314,"May","2007",27
439,"May","2007",28
195,"May","2007",29
125,"May","2007",30
111,"May","2007",31
141,"May","2007",32
102,"May","2007",33
298,"May","2007",34
122,"May","2007",35
97,"May","2007",36
250,"May","2007",37
102,"May","2007",38
71,"May","2007",39
91,"May","2007",40
94,"May","2007",41
320,"May","2007",42
123,"May","2007",43
127,"May","2007",44
92,"May","2007",45
123,"May","2007",46
94,"May","2007",47
88,"May","2007",48
139,"May","2007",49
80,"May","2007",50
167,"May","2008",1
319,"May","2008",2
258,"May","2008",3
144,"May","2008",4
176,"May","2008",5
299,"May","2008",6
240,"May","2008",7
269,"May","2008",8
203,"May","2008",9
156,"May","2008",10
102,"May","2008",11
98,"May","2008",12
116,"May","2008",13
121,"May","2008",14
262,"May","2008",15
240,"May","2008",16
340,"May","2008",17
180,"May","2008",18
69,"May","2008",19
268,"May","2008",20
256,"May","2008",21
95,"May","2008",22
114,"May","2008",23
293,"May","2008",24
121,"May","2008",25
147,"May","2008",26
303,"May","2008",27
366,"May","2008",28
201,"May","2008",29
117,"May","2008",30
136,"May","2008",31
131,"May","2008",32
66,"May","2008",33
278,"May","2008",34
103,"May","2008",35
100,"May","2008",36
256,"May","2008",37
99,"May","2008",38
95,"May","2008",39
68,"May","2008",40
88,"May","2008",41
306,"May","2008",42
119,"May","2008",43
122,"May","2008",44
100,"May","2008",45
107,"May","2008",46
94,"May","2008",47
70,"May","2008",48
103,"May","2008",49
83,"May","2008",50
168,"May","2009",1
272,"May","2009",2
236,"May","2009",3
159,"May","2009",4
168,"May","2009",5
261,"May","2009",6
231,"May","2009",7
237,"May","2009",8
203,"May","2009",9
137,"May","2009",10
92,"May","2009",11
91,"May","2009",12
107,"May","2009",13
119,"May","2009",14
225,"May","2009",15
231,"May","2009",16
277,"May","2009",17
148,"May","2009",18
79,"May","2009",19
257,"May","2009",20
256,"May","2009",21
97,"May","2009",22
121,"May","2009",23
274,"May","2009",24
114,"May","2009",25
126,"May","2009",26
298,"May","2009",27
371,"May","2009",28
166,"May","2009",29
108,"May","2009",30
121,"May","2009",31
153,"May","2009",32
77,"May","2009",33
232,"May","2009",34
114,"May","2009",35
90,"May","2009",36
236,"May","2009",37
95,"May","2009",38
84,"May","2009",39
95,"May","2009",40
77,"May","2009",41
293,"May","2009",42
102,"May","2009",43
126,"May","2009",44
76,"May","2009",45
90,"May","2009",46
80,"May","2009",47
77,"May","2009",48
113,"May","2009",49
82,"May","2009",50
135,"May","2010",1
303,"May","2010",2
223,"May","2010",3
132,"May","2010",4
190,"May","2010",5
284,"May","2010",6
197,"May","2010",7
191,"May","2010",8
198,"May","2010",9
135,"May","2010",10
108,"May","2010",11
97,"May","2010",12
86,"May","2010",13
103,"May","2010",14
228,"May","2010",15
240,"May","2010",16
260,"May","2010",17
116,"May","2010",18
70,"May","2010",19
277,"May","2010",20
244,"May","2010",21
98,"May","2010",22
84,"May","2010",23
302,"May","2010",24
109,"May","2010",25
145,"May","2010",26
253,"May","2010",27
369,"May","2010",28
206,"May","2010",29
107,"May","2010",30
129,"May","2010",31
124,"May","2010",32
66,"May","2010",33
231,"May","2010",34
112,"May","2010",35
68,"May","2010",36
234,"May","2010",37
68,"May","2010",38
67,"May","2010",39
79,"May","2010",40
78,"May","2010",41
244,"May","2010",42
97,"May","2010",43
115,"May","2010",44
86,"May","2010",45
95,"May","2010",46
76,"May","2010",47
63,"May","2010",48
110,"May","2010",49
79,"May","2010",50
127,"May","2011",1
226,"May","2011",2
205,"May","2011",3
122,"May","2011",4
158,"May","2011",5
236,"May","2011",6
232,"May","2011",7
217,"May","2011",8
186,"May","2011",9
146,"May","2011",10
114,"May","2011",11
83,"May","2011",12
84,"May","2011",13
108,"May","2011",14
228,"May","2011",15
190,"May","2011",16
271,"May","2011",17
148,"May","2011",18
51,"May","2011",19
279,"May","2011",20
237,"May","2011",21
91,"May","2011",22
88,"May","2011",23
270,"May","2011",24
102,"May","2011",25
115,"May","2011",26
