"TOTALCRIME","C_MONTH","H_YEAR","WARD"
173,"November","2005",1
323,"November","2005",2
274,"November","2005",3
163,"November","2005",4
182,"November","2005",5
304,"November","2005",6
197,"November","2005",7
189,"November","2005",8
206,"November","2005",9
148,"November","2005",10
138,"November","2005",11
126,"November","2005",12
101,"November","2005",13
116,"November","2005",14
251,"November","2005",15
204,"November","2005",16
262,"November","2005",17
156,"November","2005",18
77,"November","2005",19
233,"November","2005",20
226,"November","2005",21
83,"November","2005",22
104,"November","2005",23
333,"November","2005",24
121,"November","2005",25
139,"November","2005",26
285,"November","2005",27
384,"November","2005",28
183,"November","2005",29
105,"November","2005",30
129,"November","2005",31
153,"November","2005",32
94,"November","2005",33
263,"November","2005",34
108,"November","2005",35
80,"November","2005",36
199,"November","2005",37
101,"November","2005",38
62,"November","2005",39
90,"November","2005",40
81,"November","2005",41
289,"November","2005",42
112,"November","2005",43
94,"November","2005",44
85,"November","2005",45
116,"November","2005",46
99,"November","2005",47
86,"November","2005",48
143,"November","2005",49
84,"November","2005",50
154,"November","2006",1
291,"November","2006",2
254,"November","2006",3
159,"November","2006",4
171,"November","2006",5
263,"November","2006",6
214,"November","2006",7
256,"November","2006",8
224,"November","2006",9
135,"November","2006",10
124,"November","2006",11
121,"November","2006",12
116,"November","2006",13
132,"November","2006",14
234,"November","2006",15
263,"November","2006",16
225,"November","2006",17
148,"November","2006",18
58,"November","2006",19
321,"November","2006",20
243,"November","2006",21
106,"November","2006",22
151,"November","2006",23
308,"November","2006",24
105,"November","2006",25
150,"November","2006",26
276,"November","2006",27
414,"November","2006",28
190,"November","2006",29
95,"November","2006",30
115,"November","2006",31
142,"November","2006",32
82,"November","2006",33
237,"November","2006",34
106,"November","2006",35
86,"November","2006",36
200,"November","2006",37
70,"November","2006",38
73,"November","2006",39
90,"November","2006",40
107,"November","2006",41
267,"November","2006",42
101,"November","2006",43
86,"November","2006",44
78,"November","2006",45
131,"November","2006",46
86,"November","2006",47
81,"November","2006",48
127,"November","2006",49
85,"November","2006",50
156,"November","2007",1
297,"November","2007",2
240,"November","2007",3
154,"November","2007",4
199,"November","2007",5
238,"November","2007",6
208,"November","2007",7
235,"November","2007",8
217,"November","2007",9
119,"November","2007",10
118,"November","2007",11
92,"November","2007",12
89,"November","2007",13
117,"November","2007",14
227,"November","2007",15
261,"November","2007",16
259,"November","2007",17
139,"November","2007",18
60,"November","2007",19
271,"November","2007",20
280,"November","2007",21
76,"November","2007",22
116,"November","2007",23
272,"November","2007",24
124,"November","2007",25
114,"November","2007",26
268,"November","2007",27
351,"November","2007",28
176,"November","2007",29
111,"November","2007",30
121,"November","2007",31
143,"November","2007",32
73,"November","2007",33
238,"November","2007",34
101,"November","2007",35
97,"November","2007",36
232,"November","2007",37
86,"November","2007",38
85,"November","2007",39
92,"November","2007",40
82,"November","2007",41
261,"November","2007",42
111,"November","2007",43
83,"November","2007",44
61,"November","2007",45
107,"November","2007",46
75,"November","2007",47
84,"November","2007",48
109,"November","2007",49
98,"November","2007",50
174,"November","2008",1
294,"November","2008",2
239,"November","2008",3
123,"November","2008",4
175,"November","2008",5
242,"November","2008",6
209,"November","2008",7
202,"November","2008",8
179,"November","2008",9
113,"November","2008",10
102,"November","2008",11
93,"November","2008",12
133,"November","2008",13
126,"November","2008",14
219,"November","2008",15
220,"November","2008",16
236,"November","2008",17
126,"November","2008",18
58,"November","2008",19
269,"November","2008",20
221,"November","2008",21
84,"November","2008",22
126,"November","2008",23
276,"November","2008",24
93,"November","2008",25
118,"November","2008",26
257,"November","2008",27
389,"November","2008",28
172,"November","2008",29
89,"November","2008",30
124,"November","2008",31
151,"November","2008",32
66,"November","2008",33
207,"November","2008",34
95,"November","2008",35
112,"November","2008",36
206,"November","2008",37
102,"November","2008",38
71,"November","2008",39
84,"November","2008",40
71,"November","2008",41
284,"November","2008",42
106,"November","2008",43
105,"November","2008",44
81,"November","2008",45
87,"November","2008",46
87,"November","2008",47
79,"November","2008",48
102,"November","2008",49
75,"November","2008",50
136,"November","2009",1
249,"November","2009",2
178,"November","2009",3
136,"November","2009",4
191,"November","2009",5
247,"November","2009",6
206,"November","2009",7
185,"November","2009",8
169,"November","2009",9
140,"November","2009",10
107,"November","2009",11
74,"November","2009",12
108,"November","2009",13
115,"November","2009",14
198,"November","2009",15
199,"November","2009",16
221,"November","2009",17
121,"November","2009",18
48,"November","2009",19
237,"November","2009",20
191,"November","2009",21
62,"November","2009",22
89,"November","2009",23
254,"November","2009",24
97,"November","2009",25
124,"November","2009",26
253,"November","2009",27
326,"November","2009",28
185,"November","2009",29
