"TOTALCRIME","C_MONTH","H_YEAR","WARD"
175,"October","2005",1
363,"October","2005",2
317,"October","2005",3
198,"October","2005",4
234,"October","2005",5
338,"October","2005",6
255,"October","2005",7
253,"October","2005",8
242,"October","2005",9
141,"October","2005",10
143,"October","2005",11
104,"October","2005",12
102,"October","2005",13
125,"October","2005",14
267,"October","2005",15
282,"October","2005",16
295,"October","2005",17
173,"October","2005",18
83,"October","2005",19
268,"October","2005",20
261,"October","2005",21
113,"October","2005",22
129,"October","2005",23
290,"October","2005",24
116,"October","2005",25
166,"October","2005",26
327,"October","2005",27
381,"October","2005",28
230,"October","2005",29
122,"October","2005",30
131,"October","2005",31
128,"October","2005",32
99,"October","2005",33
256,"October","2005",34
113,"October","2005",35
104,"October","2005",36
242,"October","2005",37
92,"October","2005",38
81,"October","2005",39
101,"October","2005",40
80,"October","2005",41
288,"October","2005",42
127,"October","2005",43
113,"October","2005",44
96,"October","2005",45
136,"October","2005",46
96,"October","2005",47
89,"October","2005",48
138,"October","2005",49
104,"October","2005",50
187,"October","2006",1
361,"October","2006",2
320,"October","2006",3
164,"October","2006",4
222,"October","2006",5
274,"October","2006",6
216,"October","2006",7
252,"October","2006",8
212,"October","2006",9
141,"October","2006",10
107,"October","2006",11
107,"October","2006",12
129,"October","2006",13
112,"October","2006",14
284,"October","2006",15
264,"October","2006",16
290,"October","2006",17
166,"October","2006",18
96,"October","2006",19
301,"October","2006",20
295,"October","2006",21
102,"October","2006",22
126,"October","2006",23
292,"October","2006",24
137,"October","2006",25
146,"October","2006",26
315,"October","2006",27
391,"October","2006",28
198,"October","2006",29
149,"October","2006",30
105,"October","2006",31
149,"October","2006",32
88,"October","2006",33
274,"October","2006",34
120,"October","2006",35
81,"October","2006",36
211,"October","2006",37
93,"October","2006",38
62,"October","2006",39
116,"October","2006",40
97,"October","2006",41
291,"October","2006",42
117,"October","2006",43
86,"October","2006",44
94,"October","2006",45
105,"October","2006",46
108,"October","2006",47
86,"October","2006",48
128,"October","2006",49
105,"October","2006",50
186,"October","2007",1
363,"October","2007",2
249,"October","2007",3
185,"October","2007",4
215,"October","2007",5
312,"October","2007",6
284,"October","2007",7
260,"October","2007",8
247,"October","2007",9
140,"October","2007",10
135,"October","2007",11
111,"October","2007",12
129,"October","2007",13
140,"October","2007",14
289,"October","2007",15
329,"October","2007",16
299,"October","2007",17
170,"October","2007",18
90,"October","2007",19
320,"October","2007",20
298,"October","2007",21
101,"October","2007",22
136,"October","2007",23
342,"October","2007",24
118,"October","2007",25
172,"October","2007",26
334,"October","2007",27
380,"October","2007",28
218,"October","2007",29
135,"October","2007",30
122,"October","2007",31
198,"October","2007",32
89,"October","2007",33
300,"October","2007",34
105,"October","2007",35
109,"October","2007",36
249,"October","2007",37
72,"October","2007",38
77,"October","2007",39
87,"October","2007",40
75,"October","2007",41
264,"October","2007",42
144,"October","2007",43
99,"October","2007",44
88,"October","2007",45
106,"October","2007",46
86,"October","2007",47
82,"October","2007",48
137,"October","2007",49
84,"October","2007",50
195,"October","2008",1
348,"October","2008",2
283,"October","2008",3
131,"October","2008",4
213,"October","2008",5
258,"October","2008",6
208,"October","2008",7
254,"October","2008",8
197,"October","2008",9
137,"October","2008",10
103,"October","2008",11
105,"October","2008",12
131,"October","2008",13
132,"October","2008",14
265,"October","2008",15
266,"October","2008",16
305,"October","2008",17
165,"October","2008",18
98,"October","2008",19
299,"October","2008",20
254,"October","2008",21
107,"October","2008",22
107,"October","2008",23
300,"October","2008",24
110,"October","2008",25
148,"October","2008",26
282,"October","2008",27
385,"October","2008",28
192,"October","2008",29
109,"October","2008",30
127,"October","2008",31
164,"October","2008",32
84,"October","2008",33
255,"October","2008",34
120,"October","2008",35
101,"October","2008",36
263,"October","2008",37
104,"October","2008",38
89,"October","2008",39
78,"October","2008",40
93,"October","2008",41
327,"October","2008",42
110,"October","2008",43
107,"October","2008",44
75,"October","2008",45
127,"October","2008",46
83,"October","2008",47
90,"October","2008",48
134,"October","2008",49
104,"October","2008",50
139,"October","2009",1
237,"October","2009",2
196,"October","2009",3
117,"October","2009",4
175,"October","2009",5
239,"October","2009",6
195,"October","2009",7
204,"October","2009",8
209,"October","2009",9
128,"October","2009",10
80,"October","2009",11
86,"October","2009",12
81,"October","2009",13
95,"October","2009",14
234,"October","2009",15
202,"October","2009",16
277,"October","2009",17
128,"October","2009",18
57,"October","2009",19
291,"October","2009",20
245,"October","2009",21
77,"October","2009",22
102,"October","2009",23
277,"October","2009",24
91,"October","2009",25
152,"October","2009",26
285,"October","2009",27
329,"October","2009",28
155,"October","2009",29
127,"October","2009",30
129,"October","2009",31
153,"October","2009",32
80,"October","2009",33
243,"October","2009",34
117,"October","2009",35
89,"October","2009",36
195,"October","2009",37
82,"October","2009",38
73,"October","2009",39
68,"October","2009",40
75,"October","2009",41
241,"October","2009",42
95,"October","2009",43
89,"October","2009",44
71,"October","2009",45
87,"October","2009",46
75,"October","2009",47
63,"October","2009",48
108,"October","2009",49
63,"October","2009",50
157,"October","2010",1
277,"October","2010",2
156,"October","2010",3
124,"October","2010",4
169,"October","2010",5
246,"October","2010",6
192,"October","2010",7
190,"October","2010",8
154,"October","2010",9
120,"October","2010",10
86,"October","2010",11
91,"October","2010",12
91,"October","2010",13
119,"October","2010",14
201,"October","2010",15
198,"October","2010",16
278,"October","2010",17
127,"October","2010",18
72,"October","2010",19
257,"October","2010",20
222,"October","2010",21
101,"October","2010",22
103,"October","2010",23
270,"October","2010",24
87,"October","2010",25
138,"October","2010",26
264,"October","2010",27
303,"October","2010",28
183,"October","2010",29
95,"October","2010",30
116,"October","2010",31
147,"October","2010",32
109,"October","2010",33
236,"October","2010",34
100,"October","2010",35
88,"October","2010",36
179,"October","2010",37
86,"October","2010",38
70,"October","2010",39
86,"October","2010",40
68,"October","2010",41
284,"October","2010",42
109,"October","2010",43
106,"October","2010",44
66,"October","2010",45
110,"October","2010",46
104,"October","2010",47
87,"October","2010",48
118,"October","2010",49
83,"October","2010",50
124,"October","2011",1
239,"October","2011",2
177,"October","2011",3
103,"October","2011",4
170,"October","2011",5
213,"October","2011",6
186,"October","2011",7
184,"October","2011",8
188,"October","2011",9
143,"October","2011",10
101,"October","2011",11
91,"October","2011",12
76,"October","2011",13
123,"October","2011",14
198,"October","2011",15
216,"October","2011",16
231,"October","2011",17
135,"October","2011",18
57,"October","2011",19
214,"October","2011",20
200,"October","2011",21
85,"October","2011",22
83,"October","2011",23
272,"October","2011",24
86,"October","2011",25
126,"October","2011",26
240,"October","2011",27
276,"October","2011",28
171,"October","2011",29
86,"October","2011",30
106,"October","2011",31
122,"October","2011",32
79,"October","2011",33
202,"October","2011",34
91,"October","2011",35
70,"October","2011",36
181,"October","2011",37
