"TOTALCRIME","C_MONTH","H_YEAR","WARD"
167,"September","2005",1
326,"September","2005",2
356,"September","2005",3
203,"September","2005",4
243,"September","2005",5
281,"September","2005",6
219,"September","2005",7
243,"September","2005",8
210,"September","2005",9
135,"September","2005",10
121,"September","2005",11
118,"September","2005",12
98,"September","2005",13
137,"September","2005",14
250,"September","2005",15
279,"September","2005",16
325,"September","2005",17
141,"September","2005",18
93,"September","2005",19
312,"September","2005",20
280,"September","2005",21
102,"September","2005",22
120,"September","2005",23
304,"September","2005",24
134,"September","2005",25
163,"September","2005",26
399,"September","2005",27
393,"September","2005",28
208,"September","2005",29
132,"September","2005",30
132,"September","2005",31
124,"September","2005",32
107,"September","2005",33
212,"September","2005",34
118,"September","2005",35
79,"September","2005",36
287,"September","2005",37
90,"September","2005",38
105,"September","2005",39
114,"September","2005",40
72,"September","2005",41
320,"September","2005",42
100,"September","2005",43
97,"September","2005",44
76,"September","2005",45
128,"September","2005",46
95,"September","2005",47
95,"September","2005",48
145,"September","2005",49
99,"September","2005",50
164,"September","2006",1
326,"September","2006",2
278,"September","2006",3
161,"September","2006",4
197,"September","2006",5
275,"September","2006",6
224,"September","2006",7
259,"September","2006",8
190,"September","2006",9
138,"September","2006",10
122,"September","2006",11
101,"September","2006",12
103,"September","2006",13
116,"September","2006",14
270,"September","2006",15
288,"September","2006",16
267,"September","2006",17
159,"September","2006",18
78,"September","2006",19
322,"September","2006",20
256,"September","2006",21
85,"September","2006",22
125,"September","2006",23
314,"September","2006",24
125,"September","2006",25
163,"September","2006",26
319,"September","2006",27
455,"September","2006",28
200,"September","2006",29
123,"September","2006",30
113,"September","2006",31
148,"September","2006",32
92,"September","2006",33
256,"September","2006",34
126,"September","2006",35
90,"September","2006",36
201,"September","2006",37
78,"September","2006",38
92,"September","2006",39
94,"September","2006",40
74,"September","2006",41
300,"September","2006",42
114,"September","2006",43
115,"September","2006",44
89,"September","2006",45
128,"September","2006",46
116,"September","2006",47
85,"September","2006",48
115,"September","2006",49
100,"September","2006",50
176,"September","2007",1
341,"September","2007",2
257,"September","2007",3
161,"September","2007",4
212,"September","2007",5
280,"September","2007",6
219,"September","2007",7
260,"September","2007",8
223,"September","2007",9
131,"September","2007",10
108,"September","2007",11
115,"September","2007",12
105,"September","2007",13
130,"September","2007",14
275,"September","2007",15
293,"September","2007",16
282,"September","2007",17
179,"September","2007",18
75,"September","2007",19
325,"September","2007",20
258,"September","2007",21
102,"September","2007",22
138,"September","2007",23
347,"September","2007",24
115,"September","2007",25
120,"September","2007",26
307,"September","2007",27
376,"September","2007",28
224,"September","2007",29
132,"September","2007",30
121,"September","2007",31
183,"September","2007",32
80,"September","2007",33
309,"September","2007",34
101,"September","2007",35
67,"September","2007",36
248,"September","2007",37
100,"September","2007",38
78,"September","2007",39
105,"September","2007",40
98,"September","2007",41
296,"September","2007",42
106,"September","2007",43
101,"September","2007",44
79,"September","2007",45
113,"September","2007",46
91,"September","2007",47
86,"September","2007",48
125,"September","2007",49
89,"September","2007",50
174,"September","2008",1
319,"September","2008",2
264,"September","2008",3
132,"September","2008",4
206,"September","2008",5
305,"September","2008",6
233,"September","2008",7
247,"September","2008",8
218,"September","2008",9
131,"September","2008",10
107,"September","2008",11
95,"September","2008",12
127,"September","2008",13
134,"September","2008",14
267,"September","2008",15
264,"September","2008",16
303,"September","2008",17
172,"September","2008",18
78,"September","2008",19
299,"September","2008",20
248,"September","2008",21
95,"September","2008",22
93,"September","2008",23
318,"September","2008",24
111,"September","2008",25
139,"September","2008",26
292,"September","2008",27
355,"September","2008",28
180,"September","2008",29
121,"September","2008",30
120,"September","2008",31
167,"September","2008",32
83,"September","2008",33
272,"September","2008",34
110,"September","2008",35
91,"September","2008",36
222,"September","2008",37
103,"September","2008",38
79,"September","2008",39
91,"September","2008",40
78,"September","2008",41
293,"September","2008",42
124,"September","2008",43
124,"September","2008",44
94,"September","2008",45
105,"September","2008",46
85,"September","2008",47
69,"September","2008",48
104,"September","2008",49
95,"September","2008",50
152,"September","2009",1
294,"September","2009",2
197,"September","2009",3
139,"September","2009",4
173,"September","2009",5
291,"September","2009",6
198,"September","2009",7
177,"September","2009",8
186,"September","2009",9
129,"September","2009",10
129,"September","2009",11
85,"September","2009",12
104,"September","2009",13
92,"September","2009",14
220,"September","2009",15
233,"September","2009",16
257,"September","2009",17
158,"September","2009",18
81,"September","2009",19
290,"September","2009",20
233,"September","2009",21
