WARD,C_MONTH,Risk
1,April,H
2,April,VH
3,April,VH
4,April,H
5,April,H
6,April,VH
7,April,VH
8,April,H
9,April,H
10,April,H
11,April,H
12,April,L
13,April,L
14,April,L
15,April,L
16,April,VH
17,April,VH
18,April,VH
19,April,H
20,April,VL
21,April,VH
22,April,VH
23,April,VL
24,April,L
25,April,VH
26,April,L
27,April,H
28,April,VH
29,April,VH
30,April,H
31,April,L
32,April,L
33,April,H
34,April,H
35,April,L
36,April,VL
37,April,H
38,April,VL
39,April,VL
40,April,VL
41,April,VL
42,April,VH
43,April,L
44,April,L
45,April,VL
46,April,L
47,April,VL
48,April,VL
49,April,L
50,April,VL
1,August,H
2,August,VH
3,August,VH
4,August,H
5,August,H
6,August,VH
7,August,VH
8,August,H
9,August,H
10,August,H
11,August,L
12,August,L
13,August,L
14,August,L
15,August,VH
16,August,VH
17,August,VH
18,August,L
19,August,VL
20,August,VH
21,August,VH
22,August,VL
23,August,L
24,August,VH
25,August,L
26,August,H
27,August,VH
28,August,VH
29,August,H
30,August,L
31,August,L
32,August,H
33,August,H
34,August,VL
35,August,H
36,August,L
37,August,VL
38,August,VH
39,August,VL
40,August,VL
41,August,VL
42,August,VL
43,August,VH
44,August,L
45,August,L
46,August,VL
47,August,L
48,August,VL
49,August,VL
50,August,L
1,December,H
2,December,VH
3,December,VH
4,December,H
5,December,H
6,December,VH
7,December,VH
8,December,VH
9,December,H
10,December,H
11,December,VL
12,December,L
13,December,L
14,December,L
15,December,VH
16,December,VH
17,December,VH
18,December,H
19,December,VL
20,December,VH
21,December,VH
22,December,VL
23,December,L
24,December,VH
25,December,L
26,December,L
27,December,VH
28,December,VH
29,December,H
30,December,L
31,December,L
32,December,H
33,December,L
34,December,VH
35,December,L
36,December,L
37,December,VH
38,December,L
39,December,VL
40,December,VL
41,December,L
42,December,VH
43,December,VL
44,December,L
45,December,VL
46,December,L
47,December,VL
48,December,VL
49,December,VL
50,December,L
1,February,H
2,February,VH
3,February,VH
4,February,H
5,February,H
6,February,H
7,February,H
8,February,H
9,February,H
10,February,H
11,February,L
12,February,L
13,February,L
14,February,L
15,February,H
16,February,H
17,February,VH
18,February,H
19,February,VL
20,February,VH
21,February,VH
22,February,L
23,February,L
24,February,VH
25,February,L
26,February,H
27,February,VH
28,February,VH
29,February,H
30,February,L
31,February,L
